topology,ny_variant,V,eta,theta,r0,delta_V,stability_type
S3,FULL,3.0,-4.0,5.0,53.358321624976256,4504399.83641013,type-II
S3,FULL,3.0,-3.0,0.0,1.0000003292768571,116.65878323848335,type-II
S3,FULL,3.0,-3.0,1.0,9.439274067776408,25738.741431668393,type-II
S3,FULL,3.0,-3.0,2.0,18.72008552623387,195903.48834943082,type-II
S3,FULL,3.0,-3.0,3.0,28.035669870931002,654948.0925530768,type-II
S3,FULL,3.0,-3.0,4.0,37.360101797912414,1547308.5966580084,type-II
S3,FULL,3.0,-3.0,5.0,46.688087146786074,3017422.8991663917,type-II
S3,FULL,3.0,-2.0,0.0,,,type-III
S3,FULL,3.0,-2.0,1.0,7.999999957695586,15159.64135813919,type-II
S3,FULL,3.0,-2.0,2.0,16.000000215145132,121277.5568175002,type-II
S3,FULL,3.0,-2.0,3.0,23.999999873474884,409312.02059774037,type-II
S3,FULL,3.0,-2.0,4.0,32.00000001757726,970221.3068592991,type-II
S3,FULL,3.0,-2.0,5.0,40.00000050541828,1894963.689762615,type-II
S3,FULL,3.0,-1.0,0.0,,,type-III
S3,FULL,3.0,-1.0,1.0,6.406514884417478,6874.566739323579,type-I
S3,FULL,3.0,-1.0,2.0,13.20713919393217,66257.47708902606,type-I
S3,FULL,3.0,-1.0,3.0,19.91631746280928,230963.89776409575,type-I
S3,FULL,3.0,-1.0,4.0,26.60401978090033,553587.1359626426,type-I
S3,FULL,3.0,-1.0,5.0,33.28325831473823,1086763.181305677,type-I
S3,FULL,3.0,0.0,0.0,,,type-III
S3,FULL,3.0,0.0,1.0,4.430499879642354,1299.6754818622685,type-I
S3,FULL,3.0,0.0,2.0,10.277464091880416,28626.799821099663,type-I
S3,FULL,3.0,0.0,3.0,15.745967189684082,110004.6527672155,type-I
S3,FULL,3.0,0.0,4.0,21.14415717485739,272387.2837500003,type-I
S3,FULL,3.0,0.0,5.0,26.515813524046,542581.5544334434,type-I
S3,FULL,3.0,1.0,0.0,,,type-III
S3,FULL,3.0,1.0,1.0,,,type-III
S3,FULL,3.0,1.0,2.0,7.000000730693838,6395.146162785107,type-I
S3,FULL,3.0,1.0,3.0,11.385163144590004,36961.478646541036,type-I
S3,FULL,3.0,1.0,4.0,15.549835335993771,101922.75712358496,type-I
S3,FULL,3.0,1.0,5.0,19.64365017316863,212254.37744408092,type-I
S3,FULL,3.0,2.0,0.0,,,type-III
S3,FULL,3.0,2.0,1.0,,,type-III
S3,FULL,3.0,2.0,2.0,,,type-III
S3,FULL,3.0,2.0,3.0,6.3094014181313955,2916.1582729111797,type-I
S3,FULL,3.0,2.0,4.0,9.549703965866597,17744.36018610812,type-I
S3,FULL,3.0,2.0,5.0,12.47853072139912,46500.2622635083,type-I
S3,FULL,3.0,3.0,0.0,,,type-III
S3,FULL,3.0,3.0,1.0,,,type-III
S3,FULL,3.0,3.0,2.0,,,type-III
S3,FULL,3.0,3.0,3.0,,,type-III
S3,FULL,3.0,3.0,4.0,,,type-III
S3,FULL,3.0,3.0,5.0,,,type-III
S3,FULL,3.0,4.0,0.0,,,type-III
S3,FULL,3.0,4.0,1.0,,,type-III
S3,FULL,3.0,4.0,2.0,,,type-III
S3,FULL,3.0,4.0,3.0,,,type-III
S3,FULL,3.0,4.0,4.0,,,type-III
S3,FULL,3.0,4.0,5.0,,,type-III
S3,FULL,3.0,5.0,0.0,,,type-III
S3,FULL,3.0,5.0,1.0,,,type-III
S3,FULL,3.0,5.0,2.0,,,type-III
S3,FULL,3.0,5.0,3.0,,,type-III
S3,FULL,3.0,5.0,4.0,,,type-III
S3,FULL,3.0,5.0,5.0,,,type-III
S3,FULL,4.0,-5.0,0.0,0.7499995947756835,87.05001609334953,type-II
S3,FULL,4.0,-5.0,1.0,9.062072100440103,39975.50549304375,type-II
S3,FULL,4.0,-5.0,2.0,18.03119606873846,310182.63907112664,type-II
S3,FULL,4.0,-5.0,3.0,27.020817792329574,1040867.8661572541,type-II
S3,FULL,4.0,-5.0,4.0,36.0156195462483,2462267.948582818,type-II
S3,FULL,4.0,-5.0,5.0,45.01249654589525,4804620.741584241,type-II
S3,FULL,4.0,-4.0,0.0,0.8660260519118713,134.3886504057413,type-II
S3,FULL,4.0,-4.0,1.0,8.092676320127515,28854.086915932872,type-II
S3,FULL,4.0,-4.0,2.0,16.046738652244443,219397.64569507315,type-II
S3,FULL,4.0,-4.0,3.0,24.03120927767374,733352.0357211012,type-II
S3,FULL,4.0,-4.0,4.0,32.02342037660084,1732418.1408082976,type-II
S3,FULL,4.0,-4.0,5.0,40.01874171567993,3378299.008843272,type-II
S3,FULL,4.0,-3.0,0.0,0.7499995947756835,87.05001609334953,type-II
S3,FULL,4.0,-3.0,1.0,7.079455672289065,19303.563641354154,type-II
S3,FULL,4.0,-3.0,2.0,14.040063961877008,146927.07546861458,type-II
S3,FULL,4.0,-3.0,3.0,21.026752984433664,491210.4802602835,type-II
S3,FULL,4.0,-3.0,4.0,28.020075908747778,1160480.8099779286,type-II
S3,FULL,4.0,-3.0,5.0,35.01606493748889,2263066.4884981555,type-II
S3,FULL,4.0,-2.0,0.0,,,type-III
S3,FULL,4.0,-2.0,1.0,6.000000036815367,11369.689627128468,type-II
S3,FULL,4.0,-2.0,2.0,11.999999151467348,90958.08476930944,type-II
S3,FULL,4.0,-2.0,3.0,18.00000011178767,306983.8911521524,type-II
S3,FULL,4.0,-2.0,4.0,23.999999873477915,727665.8143959829,type-II
S3,FULL,4.0,-2.0,5.0,30.000000192357362,1421222.5601211318,type-II
S3,FULL,4.0,-1.0,0.0,,,type-III
S3,FULL,4.0,-1.0,1.0,4.804885138012587,5155.999117351612,type-I
S3,FULL,4.0,-1.0,2.0,9.905353008782118,49693.77901072914,type-I
S3,FULL,4.0,-1.0,3.0,14.93723584071851,173223.55997341376,type-I
S3,FULL,4.0,-1.0,4.0,19.95301559659452,415190.9540787102,type-I
